year,industry,avg_employed_thousands
2014,Accommodation and food services [72],1180.0
2014,"Agriculture [111-112, 1100, 1151-1152]",303.3
2014,"Business, building and other support services [55, 56]",724.8
2014,Construction [23],1365.1
2014,"Durables [321, 327, 331-339]",1039.5
2014,Educational services [61],1223.9
2014,Finance and insurance [52],791.3
2014,"Finance, insurance, real estate, rental and leasing [52, 53]",1096.2
2014,"Fishing, hunting and trapping [114]",15.9
2014,"Forestry and logging and support activities for forestry [113, 1153]",48.4
2014,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",370.6
2014,Goods-producing sector,3902.9
2014,Health care and social assistance [62],2195.4
2014,"Information, culture and recreation [51, 71]",752.9
2014,Manufacturing [31-33],1729.0
2014,"Mining, quarrying, and oil and gas extraction [21, 2100]",306.3
2014,"Non-durables [311-316, 322-326]",689.4
2014,Other services (except public administration) [81],760.9
2014,"Professional, scientific and technical services [54]",1325.5
2014,Public administration [91],905.3
2014,Real estate and rental and leasing [53],304.9
2014,Retail trade [44-45],2139.4
2014,Services-producing sector,13835.6
2014,"Total, all industries",17738.5
2014,Transportation and warehousing [48-49],891.9
2014,Utilities [22],134.9
2014,"Wholesale and retail trade [41, 44-45]",2778.9
2014,Wholesale trade [41],639.4
2015,Accommodation and food services [72],1199.3
2015,"Agriculture [111-112, 1100, 1151-1152]",293.5
2015,"Business, building and other support services [55, 56]",745.6
2015,Construction [23],1353.8
2015,"Durables [321, 327, 331-339]",1043.0
2015,Educational services [61],1266.5
2015,Finance and insurance [52],794.8
2015,"Finance, insurance, real estate, rental and leasing [52, 53]",1109.2
2015,"Fishing, hunting and trapping [114]",17.0
2015,"Forestry and logging and support activities for forestry [113, 1153]",50.2
2015,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",357.7
2015,Goods-producing sector,3875.3
2015,Health care and social assistance [62],2245.8
2015,"Information, culture and recreation [51, 71]",742.3
2015,Manufacturing [31-33],1735.4
2015,"Mining, quarrying, and oil and gas extraction [21, 2100]",290.5
2015,"Non-durables [311-316, 322-326]",692.3
2015,Other services (except public administration) [81],743.2
2015,"Professional, scientific and technical services [54]",1355.6
2015,Public administration [91],899.6
2015,Real estate and rental and leasing [53],314.4
2015,Retail trade [44-45],2088.0
2015,Services-producing sector,13981.9
2015,"Total, all industries",17857.2
2015,Transportation and warehousing [48-49],905.0
2015,Utilities [22],135.1
2015,"Wholesale and retail trade [41, 44-45]",2769.8
2015,Wholesale trade [41],681.8
2016,Accommodation and food services [72],1205.0
2016,"Agriculture [111-112, 1100, 1151-1152]",284.6
2016,"Business, building and other support services [55, 56]",743.6
2016,Construction [23],1377.0
2016,"Durables [321, 327, 331-339]",1052.9
2016,Educational services [61],1261.6
2016,Finance and insurance [52],818.0
2016,"Finance, insurance, real estate, rental and leasing [52, 53]",1131.4
2016,"Fishing, hunting and trapping [114]",15.8
2016,"Forestry and logging and support activities for forestry [113, 1153]",45.4
2016,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",319.6
2016,Goods-producing sector,3844.6
2016,Health care and social assistance [62],2281.7
2016,"Information, culture and recreation [51, 71]",769.8
2016,Manufacturing [31-33],1727.9
2016,"Mining, quarrying, and oil and gas extraction [21, 2100]",258.5
2016,"Non-durables [311-316, 322-326]",675.0
2016,Other services (except public administration) [81],759.8
2016,"Professional, scientific and technical services [54]",1371.1
2016,Public administration [91],897.4
2016,Real estate and rental and leasing [53],313.4
2016,Retail trade [44-45],2098.1
2016,Services-producing sector,14122.3
2016,"Total, all industries",17966.9
2016,Transportation and warehousing [48-49],909.9
2016,Utilities [22],135.5
2016,"Wholesale and retail trade [41, 44-45]",2791.0
2016,Wholesale trade [41],692.8
2017,Accommodation and food services [72],1217.9
2017,"Agriculture [111-112, 1100, 1151-1152]",278.0
2017,"Business, building and other support services [55, 56]",747.3
2017,Construction [23],1419.5
2017,"Durables [321, 327, 331-339]",1067.9
2017,Educational services [61],1267.5
2017,Finance and insurance [52],834.8
2017,"Finance, insurance, real estate, rental and leasing [52, 53]",1170.9
2017,"Fishing, hunting and trapping [114]",17.5
2017,"Forestry and logging and support activities for forestry [113, 1153]",46.8
2017,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",321.5
2017,Goods-producing sector,3912.2
2017,Health care and social assistance [62],2342.2
2017,"Information, culture and recreation [51, 71]",774.7
2017,Manufacturing [31-33],1765.6
2017,"Mining, quarrying, and oil and gas extraction [21, 2100]",257.2
2017,"Non-durables [311-316, 322-326]",697.7
2017,Other services (except public administration) [81],775.5
2017,"Professional, scientific and technical services [54]",1429.1
2017,Public administration [91],922.7
2017,Real estate and rental and leasing [53],336.1
2017,Retail trade [44-45],2178.1
2017,Services-producing sector,14460.0
2017,"Total, all industries",18372.2
2017,Transportation and warehousing [48-49],937.7
2017,Utilities [22],127.5
2017,"Wholesale and retail trade [41, 44-45]",2874.4
2017,Wholesale trade [41],696.3
2018,Accommodation and food services [72],1237.3
2018,"Agriculture [111-112, 1100, 1151-1152]",284.6
2018,"Business, building and other support services [55, 56]",771.2
2018,Construction [23],1436.5
2018,"Durables [321, 327, 331-339]",1075.0
2018,Educational services [61],1292.8
2018,Finance and insurance [52],848.2
2018,"Finance, insurance, real estate, rental and leasing [52, 53]",1198.4
2018,"Fishing, hunting and trapping [114]",17.3
2018,"Forestry and logging and support activities for forestry [113, 1153]",49.4
2018,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",332.7
2018,Goods-producing sector,3978.3
2018,Health care and social assistance [62],2396.4
2018,"Information, culture and recreation [51, 71]",773.8
2018,Manufacturing [31-33],1784.5
2018,"Mining, quarrying, and oil and gas extraction [21, 2100]",266.0
2018,"Non-durables [311-316, 322-326]",709.5
2018,Other services (except public administration) [81],787.7
2018,"Professional, scientific and technical services [54]",1471.0
2018,Public administration [91],937.0
2018,Real estate and rental and leasing [53],350.2
2018,Retail trade [44-45],2206.5
2018,Services-producing sector,14728.4
2018,"Total, all industries",18706.6
2018,Transportation and warehousing [48-49],979.5
2018,Utilities [22],140.1
2018,"Wholesale and retail trade [41, 44-45]",2883.3
2018,Wholesale trade [41],676.8
2019,Accommodation and food services [72],1218.5
2019,"Agriculture [111-112, 1100, 1151-1152]",293.7
2019,"Business, building and other support services [55, 56]",761.8
2019,Construction [23],1472.2
2019,"Durables [321, 327, 331-339]",1057.2
2019,Educational services [61],1325.8
2019,Finance and insurance [52],867.4
2019,"Finance, insurance, real estate, rental and leasing [52, 53]",1232.2
2019,"Fishing, hunting and trapping [114]",17.4
2019,"Forestry and logging and support activities for forestry [113, 1153]",46.7
2019,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",332.3
2019,Goods-producing sector,3988.9
2019,Health care and social assistance [62],2474.6
2019,"Information, culture and recreation [51, 71]",778.7
2019,Manufacturing [31-33],1757.2
2019,"Mining, quarrying, and oil and gas extraction [21, 2100]",268.3
2019,"Non-durables [311-316, 322-326]",700.0
2019,Other services (except public administration) [81],789.1
2019,"Professional, scientific and technical services [54]",1556.6
2019,Public administration [91],984.2
2019,Real estate and rental and leasing [53],364.7
2019,Retail trade [44-45],2264.5
2019,Services-producing sector,15081.9
2019,"Total, all industries",19070.8
2019,Transportation and warehousing [48-49],1029.8
2019,Utilities [22],133.4
2019,"Wholesale and retail trade [41, 44-45]",2930.5
2019,Wholesale trade [41],666.0
2020,Accommodation and food services [72],947.1
2020,"Agriculture [111-112, 1100, 1151-1152]",281.1
2020,"Business, building and other support services [55, 56]",685.7
2020,Construction [23],1414.2
2020,"Durables [321, 327, 331-339]",996.6
2020,Educational services [61],1319.5
2020,Finance and insurance [52],912.8
2020,"Finance, insurance, real estate, rental and leasing [52, 53]",1236.6
2020,"Fishing, hunting and trapping [114]",19.3
2020,"Forestry and logging and support activities for forestry [113, 1153]",49.8
2020,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",306.8
2020,Goods-producing sector,3815.4
2020,Health care and social assistance [62],2409.1
2020,"Information, culture and recreation [51, 71]",677.1
2020,Manufacturing [31-33],1679.5
2020,"Mining, quarrying, and oil and gas extraction [21, 2100]",237.7
2020,"Non-durables [311-316, 322-326]",682.9
2020,Other services (except public administration) [81],704.6
2020,"Professional, scientific and technical services [54]",1567.3
2020,Public administration [91],997.9
2020,Real estate and rental and leasing [53],323.8
2020,Retail trade [44-45],2124.7
2020,Services-producing sector,14253.1
2020,"Total, all industries",18068.5
2020,Transportation and warehousing [48-49],945.7
2020,Utilities [22],133.8
2020,"Wholesale and retail trade [41, 44-45]",2762.5
2020,Wholesale trade [41],637.7
2021,Accommodation and food services [72],962.7
2021,"Agriculture [111-112, 1100, 1151-1152]",261.8
2021,"Business, building and other support services [55, 56]",683.3
2021,Construction [23],1461.1
2021,"Durables [321, 327, 331-339]",1042.9
2021,Educational services [61],1450.9
2021,Finance and insurance [52],963.9
2021,"Finance, insurance, real estate, rental and leasing [52, 53]",1320.5
2021,"Fishing, hunting and trapping [114]",19.1
2021,"Forestry and logging and support activities for forestry [113, 1153]",48.7
2021,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",325.9
2021,Goods-producing sector,3946.5
2021,Health care and social assistance [62],2525.4
2021,"Information, culture and recreation [51, 71]",715.1
2021,Manufacturing [31-33],1757.0
2021,"Mining, quarrying, and oil and gas extraction [21, 2100]",258.1
2021,"Non-durables [311-316, 322-326]",714.2
2021,Other services (except public administration) [81],717.0
2021,"Professional, scientific and technical services [54]",1699.5
2021,Public administration [91],1076.7
2021,Real estate and rental and leasing [53],356.6
2021,Retail trade [44-45],2222.2
2021,Services-producing sector,15017.6
2021,"Total, all industries",18964.1
2021,Transportation and warehousing [48-49],986.7
2021,Utilities [22],140.7
2021,"Wholesale and retail trade [41, 44-45]",2879.7
2021,Wholesale trade [41],657.6
2022,Accommodation and food services [72],1042.2
2022,"Agriculture [111-112, 1100, 1151-1152]",261.7
2022,"Business, building and other support services [55, 56]",690.9
2022,Construction [23],1552.6
2022,"Durables [321, 327, 331-339]",1071.8
2022,Educational services [61],1480.1
2022,Finance and insurance [52],993.8
2022,"Finance, insurance, real estate, rental and leasing [52, 53]",1360.2
2022,"Fishing, hunting and trapping [114]",16.9
2022,"Forestry and logging and support activities for forestry [113, 1153]",46.4
2022,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",328.1
2022,Goods-producing sector,4091.2
2022,Health care and social assistance [62],2615.5
2022,"Information, culture and recreation [51, 71]",809.5
2022,Manufacturing [31-33],1797.9
2022,"Mining, quarrying, and oil and gas extraction [21, 2100]",264.8
2022,"Non-durables [311-316, 322-326]",726.1
2022,Other services (except public administration) [81],710.2
2022,"Professional, scientific and technical services [54]",1818.1
2022,Public administration [91],1141.7
2022,Real estate and rental and leasing [53],366.4
2022,Retail trade [44-45],2299.5
2022,Services-producing sector,15648.3
2022,"Total, all industries",19739.5
2022,Transportation and warehousing [48-49],990.4
2022,Utilities [22],150.8
2022,"Wholesale and retail trade [41, 44-45]",2989.5
2022,Wholesale trade [41],690.0
2023,Accommodation and food services [72],1129.2
2023,"Agriculture [111-112, 1100, 1151-1152]",258.0
2023,"Business, building and other support services [55, 56]",693.6
2023,Construction [23],1601.0
2023,"Durables [321, 327, 331-339]",1121.8
2023,Educational services [61],1515.8
2023,Finance and insurance [52],1020.5
2023,"Finance, insurance, real estate, rental and leasing [52, 53]",1384.9
2023,"Fishing, hunting and trapping [114]",15.6
2023,"Forestry and logging and support activities for forestry [113, 1153]",37.9
2023,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",331.0
2023,Goods-producing sector,4192.8
2023,Health care and social assistance [62],2696.7
2023,"Information, culture and recreation [51, 71]",847.8
2023,Manufacturing [31-33],1843.5
2023,"Mining, quarrying, and oil and gas extraction [21, 2100]",277.6
2023,"Non-durables [311-316, 322-326]",721.7
2023,Other services (except public administration) [81],768.3
2023,"Professional, scientific and technical services [54]",1895.4
2023,Public administration [91],1187.1
2023,Real estate and rental and leasing [53],364.4
2023,Retail trade [44-45],2290.4
2023,Services-producing sector,16141.9
2023,"Total, all industries",20334.8
2023,Transportation and warehousing [48-49],1033.7
2023,Utilities [22],159.2
2023,"Wholesale and retail trade [41, 44-45]",2989.5
2023,Wholesale trade [41],699.0
2024,Accommodation and food services [72],1138.9
2024,"Agriculture [111-112, 1100, 1151-1152]",231.7
2024,"Business, building and other support services [55, 56]",707.0
2024,Construction [23],1607.3
2024,"Durables [321, 327, 331-339]",1131.8
2024,Educational services [61],1569.7
2024,Finance and insurance [52],1034.9
2024,"Finance, insurance, real estate, rental and leasing [52, 53]",1424.3
2024,"Fishing, hunting and trapping [114]",15.4
2024,"Forestry and logging and support activities for forestry [113, 1153]",42.0
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",354.2
2024,Goods-producing sector,4194.9
2024,Health care and social assistance [62],2819.5
2024,"Information, culture and recreation [51, 71]",843.4
2024,Manufacturing [31-33],1848.8
2024,"Mining, quarrying, and oil and gas extraction [21, 2100]",296.8
2024,"Non-durables [311-316, 322-326]",717.0
2024,Other services (except public administration) [81],801.4
2024,"Professional, scientific and technical services [54]",1976.5
2024,Public administration [91],1227.8
2024,Real estate and rental and leasing [53],389.4
2024,Retail trade [44-45],2225.4
2024,Services-producing sector,16535.6
2024,"Total, all industries",20730.5
2024,Transportation and warehousing [48-49],1086.6
2024,Utilities [22],153.0
2024,"Wholesale and retail trade [41, 44-45]",2940.4
2024,Wholesale trade [41],715.0
